date,idx,nonrspo,composite
2013-12-27,1107.242725,1017.031258,1033.864593
2013-12-30,1111.186327,1018.442574,1037.51207
2013-12-31,1115.758968,1029.355672,1044.10507
2014-01-01,1115.758968,1029.355672,1044.10507
2014-01-02,1105.3067,1025.888219,1035.081096
2014-01-03,1102.314339,1026.613111,1032.191377
2014-01-06,1099.617243,1034.088275,1032.011241
2014-01-07,1090.970135,1035.489102,1022.951564
2014-01-08,1097.096884,1041.130243,1029.850254
2014-01-09,1087.460493,1033.217243,1017.577795
2014-01-10,1090.940806,1037.190155,1021.27832
2014-01-13,1090.404299,1036.317538,1020.008523
2014-01-14,1086.21722,1035.776409,1014.685177
2014-01-15,1077.401118,1026.169116,1005.992067
2014-01-16,1068.930044,1019.890534,997.2888351
2014-01-17,1072.398749,1020.098053,999.425687
2014-01-20,1066.751813,1017.355434,994.4323762
2014-01-21,1061.721589,1012.569417,989.6679059
2014-01-22,1065.056947,1014.247014,993.0132311
2014-01-23,1068.640024,1001.664874,989.8442735
2014-01-24,1059.129514,1004.605038,983.5350021
2014-01-27,1046.108561,986.983694,967.8863087
2014-01-28,1041.757094,989.4345171,966.7684597
2014-01-29,1047.257123,994.1716627,971.9753495
2014-01-30,1047.447642,993.2500752,972.0809761
2014-01-31,1047.076046,993.3020639,971.3624865
2014-02-03,1044.120103,991.0955387,968.2314491
2014-02-04,1034.999428,983.4369661,961.0368426
2014-02-05,1036.624273,993.2122643,964.6801296
2014-02-06,1045.017629,1001.582171,973.01189
2014-02-07,1052.549734,1006.596547,980.0191501
2014-02-10,1052.713336,1008.57259,982.4357621
2014-02-11,1060.176966,1021.006345,992.4832161
2014-02-12,1067.741904,1028.208765,998.9745824
2014-02-13,1069.782554,1029.974665,1001.05636
2014-02-14,1070.406095,1041.543323,1005.314014
2014-02-17,1083.50688,1046.307466,1016.894909
2014-02-18,1079.82509,1038.654461,1011.640935
2014-02-19,1107.899316,1051.297305,1036.699847
2014-02-20,1104.106183,1053.243384,1034.398818
2014-02-21,1106.400197,1057.087458,1037.598542
2014-02-24,1107.523592,1069.124224,1049.092847
2014-02-25,1113.454046,1067.361472,1056.378047
2014-02-26,1103.853377,1068.5674,1048.297918
2014-02-27,1115.023439,1066.607616,1057.21108
2014-02-28,1106.537004,1066.690085,1049.557764
2014-03-03,1114.394118,1058.934277,1054.28355
2014-03-04,1120.087323,1062.402096,1058.046036
2014-03-05,1128.879615,1075.291762,1066.522188
